Year,Week,Date,Forecast,Quota,Order,Delivery,PriceCP,PriceMarket,Stock,FeedPrice,LayinghenPrice
2022,1,3/1/2022,38.84,32.24,37.01,35.08,3.06,2.8,8.26,13.27,30.87
2022,2,10/1/2022,40.1,32.69,36.62,34.55,3.2,3,7.91,13.3,31.64
2022,3,17/1/2022,39.81,32.01,36.16,34.67,3.25,3,9.97,13.26,37.79
2022,4,24/1/2022,35.7,34.44,36.51,35.24,3.23,3,10.37,13.37,36.6
2022,5,31/1/2022,34.7,35.54,37.94,36.92,3.21,3,8.58,13.44,35.2
2022,6,7/2/2022,35.02,33.24,36.23,34.56,3.22,3,7.15,13.46,35.57
2022,7,14/2/2022,36.02,34.38,35.37,33.68,3.24,3,7.93,13.49,35.18
2022,8,21/2/2022,35.21,33.97,36.98,35.35,3.25,3,7.31,13.43,40.46
2022,9,28/2/2022,35.41,31.41,36.14,32.45,3.42,3.17,5.41,13.19,43.51
2022,10,7/3/2022,36.46,30.38,36.15,31.02,3.5,3.2,5.59,13.45,46.67
2022,11,14/3/2022,37.21,31.02,38.6,30.98,3.56,3.26,6.52,13.46,46.28
2022,12,21/3/2022,37.01,31.39,40.21,31.43,3.63,3.36,7.02,13.49,48.84
2022,13,28/3/2022,37.73,31.92,42.57,32.69,3.65,3.4,6.58,13.46,50.08
2022,14,4/4/2022,38.44,32.5,42.54,33.31,3.68,3.4,7.11,13.49,49.41
2022,15,11/4/2022,39.31,34.01,39.26,32.7,3.68,3.4,7.49,13.51,49.59
2022,16,18/4/2022,39.17,34.85,36.61,33.59,3.72,3.44,9.09,13.52,51.49
2022,17,25/4/2022,40.41,35.55,33.99,32.5,3.78,3.5,9.06,13.68,49.6
2022,18,2/5/2022,36.59,33.82,34.24,32.91,3.77,3.46,11.04,13.75,50.29
2022,19,9/5/2022,34.32,34.47,34.53,33.55,3.69,3.4,11.25,13.85,48.21
2022,20,16/5/2022,33.91,34.56,36.12,34.78,3.58,3.31,12.69,13.94,45.53
2022,21,23/5/2022,33.31,34.53,35.16,33.93,3.5,3.21,12.06,13.96,42.19
2022,22,30/5/2022,32.72,34.66,36.52,35.74,3.44,3.2,11.56,14.08,36.2
2022,23,6/6/2022,34.59,34.55,38.48,37.33,3.31,3.13,10.66,14.09,31.09
2022,24,13/6/2022,35.35,35.07,36.71,35.75,3.34,3.04,10.31,14.2,32.21
2022,25,20/6/2022,36.68,35.6,37.6,36.43,3.31,3,10.03,14.34,33.62
2022,26,27/6/2022,36.91,35.05,39.03,37.28,3.3,3,8.8,14.39,32.44
2022,27,4/7/2022,37.2,34.72,38.87,35.86,3.42,3.14,6.63,14.47,35.51
2022,28,11/7/2022,36.91,35.36,36.3,34.25,3.56,3.2,6.97,14.62,40.25
2022,29,18/7/2022,36.88,34.99,38.88,36.03,3.65,3.34,7.22,14.7,48.84
2022,30,25/7/2022,36.91,35.57,39.26,35.54,3.72,3.4,7.47,14.95,49.96
2022,31,1/8/2022,37.85,35.71,42.85,37.43,3.78,3.47,7.06,14.86,47.8
2022,32,8/8/2022,37.62,36.07,40.12,35.13,3.81,3.5,7.18,14.88,48.21
2022,33,15/8/2022,39.92,35.23,40.29,35.6,3.88,3.57,7.04,14.94,47.26
2022,34,22/8/2022,40.47,35.17,40.77,35.76,3.93,3.6,6.91,14.99,44.83
2022,35,29/8/2022,40.51,34.88,42.81,36.45,3.93,3.6,6.27,14.89,42.9
2022,36,5/9/2022,40.59,34.94,44.18,34.8,3.94,3.6,5.95,14.92,42.87
2022,37,12/9/2022,42.9,34.1,44.69,34.89,3.94,3.6,6.12,14.97,42.79
2022,38,19/9/2022,44.05,33.82,43.6,34.42,3.92,3.6,6.58,14.96,42.43
2022,39,26/9/2022,43.67,34.51,41.71,35.05,3.91,3.6,7.69,14.95,40.98
2022,40,3/10/2022,43.52,34.9,43.42,36.72,3.9,3.6,8.08,14.95,40.89
2022,41,10/10/2022,42.76,36.25,39.79,35.29,3.91,3.6,8.93,14.95,41.67
2022,42,17/10/2022,42.37,37.03,39.72,35.86,3.88,3.6,9.92,14.94,42.87
2022,43,24/10/2022,40,36.67,40.5,36.77,3.87,3.6,10.6,14.99,41.21
2022,44,31/10/2022,39.79,36.79,42.42,36.98,3.85,3.6,9.53,15.02,36.09
2022,45,7/11/2022,39.73,36.76,40.43,35.55,3.85,3.6,9.75,15.04,34.55
2022,46,14/11/2022,40.32,36.35,39.95,36.26,3.86,3.6,9.83,15.06,34.23
2022,47,21/11/2022,39.49,36.12,40.62,37.03,3.83,3.51,9.12,15.06,31.83
2022,48,28/11/2022,40.13,36.5,42.28,37.11,3.76,3.4,8.02,15,28.94
2022,49,5/12/2022,39.18,36.6,43.96,36.95,3.74,3.4,7.47,15,25.86
2022,50,12/12/2022,41.32,36.43,41.5,36.01,3.74,3.4,7.83,15.04,25.79
2022,51,19/12/2022,43.87,36.2,43.84,37.38,3.75,3.4,7.88,15.11,28.69
2022,52,26/12/2022,43,35.88,45.33,36.72,3.78,3.4,7.33,15.26,29.37
2023,1,2/1/2023,42.8,35.77,46.79,37.18,3.84,3.49,8.73,15.29,30.44
2023,2,9/1/2023,44.14,36.75,42.6,35.06,3.97,3.6,9.4,15.25,33.24
