ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,FeedPrice,FeedPrice_lower,FeedPrice_upper,LayinghenPrice,LayinghenPrice_lower,LayinghenPrice_upper,Stock,Stock_lower,Stock_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-03,3.002896,2.8977918333056585,3.138517589695518,3.002896,3.002896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01963892630398517,0.01963892630398517,0.01963892630398517,0.0,0.0,0.0,0.01963892630398517,0.01963892630398517,0.01963892630398517,0.0,0.0,0.0,3.022534926303985
2022-01-10,3.0138430837988825,2.827780712210155,3.080071013634301,3.0138430837988825,3.0138430837988825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0655808090709808,-0.0655808090709808,-0.0655808090709808,0.0,0.0,0.0,-0.0655808090709808,-0.0655808090709808,-0.0655808090709808,0.0,0.0,0.0,2.948262274727902
2022-01-17,3.0247901675977653,2.7650175936064247,3.004365358342698,3.0247901675977653,3.0247901675977653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13563147418982577,-0.13563147418982577,-0.13563147418982577,0.0,0.0,0.0,-0.13563147418982577,-0.13563147418982577,-0.13563147418982577,0.0,0.0,0.0,2.8891586934079396
2022-01-24,3.0357372513966476,2.7404260132385243,2.989912324843237,3.0357372513966476,3.0357372513966476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.168060668478575,-0.168060668478575,-0.168060668478575,0.0,0.0,0.0,-0.168060668478575,-0.168060668478575,-0.168060668478575,0.0,0.0,0.0,2.867676582918073
2022-01-31,3.0466843351955304,2.7489345866315587,2.9992989964000336,3.0466843351955304,3.0466843351955304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1714048914313863,-0.1714048914313863,-0.1714048914313863,0.0,0.0,0.0,-0.1714048914313863,-0.1714048914313863,-0.1714048914313863,0.0,0.0,0.0,2.875279443764144
2022-02-07,3.057631418994413,2.751345917394502,3.0008751454945526,3.057631418994413,3.057631418994413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1787901563925253,-0.1787901563925253,-0.1787901563925253,0.0,0.0,0.0,-0.1787901563925253,-0.1787901563925253,-0.1787901563925253,0.0,0.0,0.0,2.8788412626018878
2022-02-14,3.068578502793296,2.7270836042265403,2.988278054432905,3.068578502793296,3.068578502793296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2146267503409252,-0.2146267503409252,-0.2146267503409252,0.0,0.0,0.0,-0.2146267503409252,-0.2146267503409252,-0.2146267503409252,0.0,0.0,0.0,2.8539517524523705
2022-02-21,3.0795255865008944,2.6856079829239126,2.936191203951247,3.0795255865008944,3.0795255865008944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2668294135638077,-0.2668294135638077,-0.2668294135638077,0.0,0.0,0.0,-0.2668294135638077,-0.2668294135638077,-0.2668294135638077,0.0,0.0,0.0,2.8126961729370867
2022-02-28,3.090472670208493,2.667992854741292,2.9192604647649003,3.090472670208493,3.090472670208493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29634071850658417,-0.29634071850658417,-0.29634071850658417,0.0,0.0,0.0,-0.29634071850658417,-0.29634071850658417,-0.29634071850658417,0.0,0.0,0.0,2.7941319517019085
2022-03-07,3.1014197539160913,2.6955232079821023,2.9406184877600414,3.1014197539160913,3.1014197539160913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2777703997170732,-0.2777703997170732,-0.2777703997170732,0.0,0.0,0.0,-0.2777703997170732,-0.2777703997170732,-0.2777703997170732,0.0,0.0,0.0,2.823649354199018
